"id","uuid","code","common_name_en","common_name_fr","scientific_name","abbrev","tsn","aphia_id","strap_code","image","description_image","shrimp","invertebrate","created_at","updated_at","created_by_id","last_modified_by_id","is_invalid"
47,f0a8f39bf49847ce9d4827260c676a9b,47,White mullet,Muge curema,Mugil curema,,,159416,,species_images_by_aphia_id/159416/159416_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:40.353813",,,0
48,"32966438b78b4fd98d08677225c61e73",48,Flathead grey mullet,Mulet cabot,Mugil cephalus,,,126983,,species_images_by_aphia_id/126983/126983_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:23.524931",,,0
49,"425238f5f08d4383ad24f6123f3c0a4a",49,"Flounders, Halibuts and Plaices unidentified","Flétans, limandes et plies non-spécifiés",Pleuronectidae (f.),,,125579,,"49.jpg","",0,0,"2020-08-13 14:04:48.376","2020-12-14 13:31:53.592",,,0
50,fc2bb3fab815495499daf50a13c86a8f,50,Atlantic wolffish,Loup atlantique,Anarhichas lupus,,,126758,,species_images_by_aphia_id/126758/126758_photo.jpg,species_images_by_aphia_id/126758/126758_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:20.460467",,,0
51,"7f5b133ebeca40a6b7c9022f2f73c1ed",51,Spotted wolffish,Loup tacheté,Anarhichas minor,,,126759,,species_images_by_aphia_id/126759/126759_photo.jpg,species_images_by_aphia_id/126759/126759_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:26.657758",,,0
52,d17aabbf2198405cb83b363e8a740653,52,Northern wolffish,Loup à tête large,Anarhichas denticulatus,,,126757,,species_images_by_aphia_id/126757/126757_photo.jpg,species_images_by_aphia_id/126757/126757_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:12.727074",,,0
53,fce8b5764f0a41439a4e0de8346711fd,53,Tautog,Tautogne noir,Tautoga onitis,,,158830,,species_images_by_aphia_id/158830/158830_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:33.778527",,,0
54,"99c44337830840ab9c341e9559bdb661",54,Sergeant-major,Abudefduf saxatilis,Abudefduf saxatilis,,,159288,,species_images_by_aphia_id/159288/159288_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:08.235153",,,0
55,"09dcad0edfb6441f9b3a24a07faeb70d",55,European ling,Julienne,Molva molva,,,126461,,species_images_by_aphia_id/126461/126461_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:25.8634",,,0
59,"324526841c20433980dcee3752ba7d09",59,Wolffish unidentified,Loups non-spécifié,Anarhichadidae (f.),,,125517,,species_images_by_aphia_id/125517/125517_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:31.17331",,,0
60,"5d02abb7374844b983cfd72cdeaa02ac",60,Atlantic herring,Hareng atlantique,Clupea harengus,,,126417,,species_images_by_aphia_id/126417/126417_photo.jpg,species_images_by_aphia_id/126417/126417_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:08.769697",,9,0
61,"70a3961109c34905bcc1c06548fbf372",61,American shad,Alose savoureuse,Alosa sapidissima,,,158670,,species_images_by_aphia_id/158670/158670_photo.jpg,species_images_by_aphia_id/158670/158670_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:02.510332",,,0
62,"34ce3029ca394e4d8e6ab5bde509b173",62,Alewife,Gaspereau,Alosa pseudoharengus,,,158669,,species_images_by_aphia_id/158669/158669_photo.jpg,species_images_by_aphia_id/158669/158669_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:43.044255",,9,0
63,"7664b36de34e4f2ca1650d8bb871245f",63,Rainbow smelt,Éperlan arc-en-ciel,Osmerus mordax,,,126737,,species_images_by_aphia_id/126737/126737_photo.jpg,species_images_by_aphia_id/126737/126737_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:33.353019",,,0
64,"0f476d86d51d463a94210238ddb98b81",64,Capelin,Capelan,Mallotus villosus,,,126735,,species_images_by_aphia_id/126735/126735_photo.jpg,species_images_by_aphia_id/126735/126735_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:23.166532",,,0
65,"366448fb43c2434b9110d138fcb16350",65,Atlantic salmon,Saumon atlantique,Salmo salar,,,127186,,species_images_by_aphia_id/127186/127186_photo.jpg,species_images_by_aphia_id/127186/127186_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:14.439701",,,0
66,"152c0b1e2796439fbfdb00856de418a4",66,Lake whitefish,Grand corégone,Coregonus clupeaformis,,,158726,,species_images_by_aphia_id/158726/158726_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:15.734207",,,0
