"id","uuid","code","common_name_en","common_name_fr","scientific_name","abbrev","tsn","aphia_id","strap_code","image","description_image","shrimp","invertebrate","created_at","updated_at","created_by_id","last_modified_by_id","is_invalid"
140,a157a46c8a484a1e824a31917222e076,140,American smooth flounder,Plie lisse,Pleuronectes putnami,,,305774,,species_images_by_aphia_id/305774/305774_photo.jpg,species_images_by_aphia_id/305774/305774_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:37.712133",,,0
141,e81640354fd94ff7b718bfef8c797197,141,Summer flounder,Cardeau d'été,Paralichthys dentatus,,,158826,,species_images_by_aphia_id/158826/158826_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:23.283859",,,0
142,a16da05e2e71459e8c22f8e21b2a433a,142,American fourspot flounder,Cardeau quatre ocelles,Hippoglossina oblonga,,,158833,,species_images_by_aphia_id/158833/158833_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:23.400335",,,0
143,"9ecd715bbef444c199365bb71447b5fa",143,Windowpane flounder,Turbot de sable,Scophthalmus aquosus,,,158907,,species_images_by_aphia_id/158907/158907_photo.jpg,species_images_by_aphia_id/158907/158907_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:16.844332",,,0
146,"700c9279a94e40168b23b3ee52c95866",146,Rakery beaconlamp,Lanterne-bouée râtelière,Lampanyctus macdonaldi,,,126617,,"146.jpg","",0,0,"2020-08-13 14:04:48.376","2020-12-14 13:31:59.075",,,0
147,d28c2068e7eb4271b44b0e6fdcf7953a,147,Pygmy lanternfish,Lampanyctus pusillus,Lampanyctus pusillus,,,126619,,"147.jpg","",0,0,"2020-08-13 14:04:48.376","2020-12-14 13:31:59.125",,,0
149,"4fa74e42921441a5a1f52e49b43b35b1",149,Longnose greeneye,Oeil-vert à long nez,Parasudis truculenta,,,158868,,species_images_by_aphia_id/158868/158868_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:01.023343",,,0
150,"96a8fc777bff498e867e28867677cb8f",150,Lanternfish unidentified,Poissons-lanterne non-spécifié (Myctophidae),Myctophidae sp.,,,125498,,species_images_by_aphia_id/125498/125498_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:43.815092",,,0
152,e23107bf46094fb9824813873b96a8e4,152,Dumerilii's lanternfish,Diaphus dumerilii,Diaphus dumerilii,,,126590,,"152.jpg","",0,0,"2020-08-13 14:04:48.376","2020-12-14 13:31:59.425",,,0
154,d00eda353ef24d719cac3cf5b647dfe2,154,Veiled anglemouth,Cyclothone à petites dents,Cyclothone microdon,,,127286,,"154.jpg",species_images_by_aphia_id/127286/127286_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:09.796274",,,0
155,eb0169ea41af440a87d94e09dc77a5c7,155,Elongated bristlemouth fish,Gonostome à grandes dents,Sigmops elongatus,,,221512,,species_images_by_aphia_id/221512/221512_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:18.741009",,,0
156,ccb3a7789f054d4980dfc3ede4938002,156,Shortnose greeneye,Oeil-vert camus,Chlorophthalmus agassizi,,,126336,,species_images_by_aphia_id/126336/126336_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:23.705885",,,0
157,"4c2c12d89e8347199cc815ce490b38aa",157,Glacier lantern fish,Lanterne glacière,Benthosema glaciale,,,126580,,"157.jpg",species_images_by_aphia_id/126580/126580_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:18.881393",,,0
158,"0c32084c07ee4ceda5f5b1cb844cbb3e",158,Silvery lightfish,Margerite perlée,Maurolicus muelleri,,,127312,,"158.jpg","",0,0,"2020-08-13 14:04:48.376","2020-12-14 13:31:59.743",,,0
159,"0f2427d5c90c469891795efbe0373628",159,Boa dragonfish,Dragon-boa,Stomias boa boa,,,234601,,"159.jpg",species_images_by_aphia_id/234601/234601_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:28.7202",,,0
